huc8,water_year,AgEra-5_precipitation_mm,prism_precipitation_mm,rdpa_precipitation_mm,nclimgrid_precipitation_mm,gridmet_precipitation_mm,chirps_precipitation_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,ptjpl_et_mm,ssebop_et_mm,geesebal_et_mm,q_mm,wbet_AgEra-5_mm,wbet_prism_mm,wbet_rdpa_mm,wbet_nclimgrid_mm,wbet_gridmet_mm,wbet_chirps_mm
18090202,2007.0,116.18830051793282,105.53489233029634,94.25760567667476,85.04094356552775,99.48796260238538,82.2155021679857,154.3020863403068,191.94757782377334,130.36898244401075,145.31229470026554,127.25420150958526,351.8574763828727,0.6315358307245593,115.55676468720827,104.9033564995718,93.62606984595018,84.40940773480321,98.85642677166081,81.58396633726113
18090202,2008.0,94.28270493000038,72.94993375081545,66.96283418441442,54.94778072341388,66.16364363419721,65.23745245039186,176.92009728871415,192.82265087430335,143.11319492882672,191.17598716906073,144.97568557620198,378.124781772352,0.15742311717418966,94.12528181282619,72.79251063364126,66.80541106724023,54.79035760623969,66.00622051702302,65.08002933321767
18090202,2009.0,121.73572023080173,104.87320465540587,90.88327863627232,89.8991539173618,102.73079547061292,92.15860510630651,151.977779975878,169.82561459053846,132.4614646072145,177.62459699089214,136.43713324668244,247.03103521050727,0.15783336917436186,121.57788686162738,104.71537128623152,90.72544526709797,89.74132054818743,102.57296210143856,92.00077173713215
18090202,2010.0,151.33396941477332,128.91005182750598,124.25037120533065,137.2313631826047,112.0009093062961,116.55291318160111,180.45042614208145,199.00481222473184,131.1566278954544,212.58558379173726,141.59841595499827,337.9068649968359,0.20135611684128008,151.13261329793207,128.7086957106647,124.04901508848937,137.03000706576344,111.79955318945481,116.35155706475985
18090202,2011.0,205.9636314760109,167.66986403108635,152.1618214013002,165.5146223140765,172.85833393086767,115.9627837760802,195.95104989378592,227.06082898218713,145.3081549681041,237.75085879047487,141.8038602538061,374.4524322416797,0.6073004710116835,205.35633100499922,167.06256356007466,151.55452093028853,164.9073218430648,172.251033459856,115.35548330506852
18090202,2012.0,93.18621631338135,90.24022599985692,69.95375984205366,64.5303144502307,99.77750794530006,85.18760043435775,139.95303100167234,193.23293289612897,100.53098860220857,149.77389952890297,116.2584065797111,325.133230106983,0.12264317226769818,93.06357314111365,90.11758282758922,69.83111666978596,64.407671277963,99.65486477303236,85.06495726209006
18090202,2013.0,115.0020246911906,101.34179324489389,79.12269391002565,102.9785559365309,114.2950211172915,95.34080206597618,155.410215867396,199.51151482502362,152.9348416983538,144.9344120641309,123.69715394351674,314.13010975536486,0.10880271120783432,114.89322197998277,101.23299053368606,79.0138911988178,102.86975322532307,114.18621840608365,95.23199935476835
18090202,2014.0,106.75225826540395,92.28421359790448,106.76174202091418,109.83096118921583,97.02195524128994,107.60356725666006,180.53251856084717,220.7343218028354,142.38065282753786,192.80139817573044,122.65595852739139,363.8813018949727,0.21550981084722137,106.53674845455672,92.06870378705727,106.54623221006696,109.6154513783686,96.80644543044272,107.38805744581283
18090202,2015.0,91.58713588272421,99.36393122814744,114.04384560754704,126.76685272631273,96.09232571805008,104.57323450114139,163.09083959004246,222.01066469835067,135.5012554390003,192.64690597561633,78.37917937703905,371.00649500876347,0.20295277327438274,91.38418310944982,99.16097845487305,113.84089283427265,126.56389995303836,95.88937294477569,104.370281727867
18090202,2016.0,198.61255698031889,158.391325505986,206.33471108681104,151.01066563736504,151.63884849555353,128.2447833301827,210.9385487216893,256.05173940965085,166.54863046792713,256.23923531382314,104.10997679729348,463.60017275602837,0.76531124645639,197.84724573386248,157.62601425952963,205.56939984035463,150.24535439090863,150.87353724909713,127.47947208372634
